"","AAL","AB","AGL","AL","ALD","ANL","ANT","APS","AZ","BEH","BEO","BLU","BP","BPW","BRB","BRD","BRM","CAL","CDU","CITROPSIS","CLS","CMC","CMG","CMI","CMU","CNS","COG","COM","COS","CP","CPR","CSY","CWI","CYA","CZE","DD","DIA","DPS","DS","DSP","DU","EA","EC","EE","ENA","ENC","ENU","ES","FAA","FAN","FE","FL","FLE","FN","FO","FOV","FSS","FSU","FUA","FUE","FVR","GC","GS","HG","IG","KA","KLG","LM","LMM","LOVOA","LPD","LPM","LT","LYC","MA","MBG","MD","MDI","ME","MEL","MEX","MIE","MIL","ML","MM","MO","MOA","MOL","MP","MRB","MS","MST","MYH","NUETONIA","OB","OUH","PSM","R","R1","RD","RH","RI","SA","SC","SPI","SS","TAF","TD","TH","TN","TO","TRP","TRR","TT","UC","UNK","UNK2","UNKI"
"Unlogged_1_20",0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,1,0,0,0,8,1,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,2,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,58,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0
"Unlogged_1_200",0,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,22,0,0,1,0,1,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,1,0,0,0,1,52,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,4,3,0,2,0,0,0,1,0,0
"Unlogged_1_30",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,3,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,36,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,1,0,2,0,0,0
"Unlogged_1_40",0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,1,0,3,0,2,0,0,0,18,0,0,5,0,0,0,0,0,0,11,1,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,0,0,0,0,58,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,1,0,4,0,0,3,6,0,0,0,0,0
"Unlogged_1_50",0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,2,0,0,0,1,0,0,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,0,0,1,0,46,0,0,0,0,0,4,3,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,4,0,0,1,5,0,0,0,0,0
"Unlogged_1_60",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,7,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,2,0,34,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,14,0,0,0,0,1,0,2,1,0,0,10,0,0,1,0,0
"Unlogged_1_70",0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,2,1,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,9,0,45,0,0,0,0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,39,0,1,0,0,2,0,1,2,0,2,2,3,0,3,0,0
"Unlogged_1_80",0,0,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,3,0,1,1,0,0,9,0,0,2,0,1,0,1,0,1,5,0,0,0,0,1,0,5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,9,0,0,5,0,49,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0,3,0,2,0,0,0,2,0,0,0,0,0
"Unlogged_1_90",0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,0,0,1,0,1,9,3,0,0,0,0,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,15,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0
"Unlogged_2_10",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,0,49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,5,0,0,0,0,0
